iter	Passed	Remaining
408	4460	6445
409	4470	6433
410	4480	6420
411	4489	6408
412	4499	6395
413	4509	6383
414	4519	6370
415	4529	6358
416	4540	6347
417	4550	6335
418	4559	6322
419	4570	6312
420	4582	6301
421	4592	6290
422	4602	6278
423	4612	6265
424	4621	6253
425	4631	6240
426	4641	6228
427	4651	6216
428	4661	6203
429	4671	6191
430	4680	6179
431	4690	6166
432	4700	6154
433	4709	6142
434	4719	6130
435	4729	6118
436	4738	6105
437	4749	6093
438	4759	6081
439	4769	6070
440	4779	6058
441	4789	6047
442	4799	6034
443	4809	6023
444	4819	6011
445	4829	5999
446	4839	5987
447	4849	5974
448	4859	5963
449	4869	5951
450	4880	5940
451	4891	5930
452	4903	5921
453	4915	5911
454	4927	5902
455	4937	5890
456	4947	5878
457	4956	5865
458	4966	5854
459	4977	5843
460	4988	5832
461	4997	5819
462	5007	5807
463	5018	5797
464	5028	5785
465	5038	5773
466	5048	5761
467	5058	5750
468	5069	5739
469	5078	5727
470	5089	5716
471	5099	5704
472	5109	5692
473	5119	5680
474	5129	5669
475	5139	5657
476	5149	5646
477	5160	5635
478	5171	5624
479	5180	5612
480	5190	5600
481	5200	5589
482	5211	5578
483	5220	5566
484	5230	5553
485	5240	5542
486	5250	5530
487	5259	5518
488	5269	5506
489	5279	5495
490	5289	5483
491	5298	5471
492	5308	5459
493	5317	5446
494	5327	5435
495	5336	5422
496	5346	5411
497	5357	5400
498	5366	5388
499	5377	5377
500	5388	5366
501	5400	5357
502	5410	5345
503	5420	5334
504	5429	5322
505	5440	5311
506	5450	5300
507	5459	5287
508	5469	5275
509	5478	5264
510	5488	5252
511	5497	5240
512	5507	5228
513	5517	5216
514	5526	5204
515	5535	5192
516	5546	5181
517	5557	5170
518	5568	5160
519	5578	5149
520	5589	5139
521	5599	5127
522	5609	5115
523	5619	5105
524	5629	5093
525	5641	5083
526	5651	5072
527	5660	5060
528	5671	5049
529	5681	5038
530	5691	5027
531	5701	5015
532	5712	5005
533	5722	4993
534	5732	4982
535	5741	4970
536	5751	4958
537	5761	4947
538	5770	4935
539	5782	4925
540	5795	4916
541	5808	4908
542	5818	4896
543	5827	4885
544	5837	4873
545	5848	4862
546	5857	4850
547	5867	4839
548	5877	4828
549	5888	4817
550	5897	4806
551	5907	4794
552	5917	4783
553	5928	4772
554	5939	4762
555	5950	4751
556	5959	4740
557	5969	4728
558	5980	4717
559	5990	4706
560	6000	4695
561	6011	4685
562	6022	4674
563	6033	4664
564	6043	4653
565	6056	4643
566	6066	4633
567	6077	4622
568	6088	4611
569	6098	4600
570	6109	4590
571	6120	4579
572	6131	4569
573	6143	4559
574	6154	4549
575	6166	4539
576	6176	4528
577	6186	4516
578	6195	4505
579	6206	4494
580	6217	4484
581	6226	4472
582	6236	4460
583	6246	4449
584	6269	4447
585	6279	4436
586	6287	4423
587	6297	4412
588	6307	4401
589	6317	4389
590	6327	4379
591	6338	4368
592	6350	4358
593	6362	4348
594	6373	4338
595	6384	4327
596	6395	4317
597	6406	4306
598	6417	4296
599	6428	4285
600	6439	4275
601	6449	4264
602	6461	4253
603	6472	4243
604	6482	4232
605	6494	4222
606	6505	4211
607	6515	4200
608	6526	4190
609	6536	4179
610	6546	4167
611	6555	4156
612	6565	4144
613	6576	4134
614	6585	4122
615	6595	4111
616	6605	4100
617	6615	4089
618	6626	4078
619	6637	4068
620	6647	4057
621	6657	4045
622	6666	4034
623	6676	4022
624	6684	4010
625	6694	3999
626	6704	3988
627	6713	3976
628	6723	3965
629	6732	3954
630	6742	3942
631	6751	3931
632	6760	3919
633	6771	3908
634	6781	3897
635	6790	3886
636	6800	3875
637	6811	3864
638	6822	3854
639	6833	3843
640	6842	3832
641	6852	3821
642	6862	3810
643	6872	3799
644	6882	3788
645	6892	3776
646	6901	3765
647	6910	3754
648	6920	3742
649	6931	3732
650	6942	3721
651	6952	3710
652	6963	3700
653	6972	3688
654	6983	3678
655	6993	3667
656	7003	3656
657	7014	3645
658	7025	3635
659	7039	3626
660	7051	3616
661	7061	3605
662	7072	3594
663	7083	3584
664	7095	3574
665	7107	3564
666	7119	3554
667	7129	3543
668	7138	3532
669	7149	3521
670	7159	3510
671	7169	3499
672	7180	3488
673	7190	3477
674	7200	3467
675	7210	3456
676	7221	3445
677	7232	3434
678	7243	3424
679	7254	3413
680	7263	3402
681	7273	3391
682	7283	3380
683	7293	3369
684	7304	3358
685	7314	3347
686	7324	3337
687	7334	3326
688	7344	3314
689	7354	3304
690	7363	3292
691	7373	3281
692	7384	3271
693	7394	3260
694	7403	3249
695	7414	3238
696	7424	3227
697	7435	3216
698	7447	3206
699	7460	3197
700	7470	3186
701	7481	3175
702	7491	3165
703	7503	3154
704	7513	3144
705	7524	3133
706	7535	3122
707	7545	3112
708	7556	3101
709	7566	3090
710	7576	3079
711	7587	3069
712	7599	3058
713	7610	3048
714	7623	3038
715	7635	3028
716	7647	3018
717	7659	3008
718	7669	2997
719	7679	2986
720	7689	2975
721	7699	2964
722	7709	2953
723	7718	2942
724	7728	2931
725	7737	2920
726	7747	2909
727	7760	2899
728	7771	2888
729	7781	2878
730	7791	2867
731	7802	2856
732	7813	2846
733	7824	2835
734	7833	2824
735	7844	2813
736	7852	2802
737	7863	2791
738	7873	2780
739	7883	2769
740	7892	2758
741	7902	2747
742	7911	2736
743	7921	2725
744	7929	2714
745	7939	2703
746	7949	2692
747	7959	2681
748	7968	2670
749	7978	2659
750	7988	2648
751	7997	2637
752	8006	2626
753	8016	2615
754	8026	2604
755	8035	2593
756	8044	2582
757	8053	2571
758	8063	2560
759	8072	2549
760	8081	2538
761	8091	2527
762	8100	2516
763	8109	2504
764	8118	2493
765	8127	2482
766	8138	2472
767	8147	2461
768	8157	2450
769	8166	2439
770	8176	2428
771	8187	2417
772	8197	2407
773	8207	2396
774	8216	2385
775	8226	2374
776	8235	2363
777	8245	2352
778	8255	2342
779	8265	2331
780	8276	2320
781	8288	2310
782	8299	2300
783	8308	2289
784	8318	2278
785	8329	2267
786	8341	2257
787	8351	2246
788	8362	2236
789	8373	2225
790	8383	2215
791	8393	2204
792	8404	2193
793	8413	2182
794	8424	2172
795	8434	2161
796	8444	2150
797	8454	2140
798	8463	2129
799	8473	2118
800	8483	2107
801	8493	2096
802	8502	2086
803	8512	2075
804	8522	2064
805	8532	2053
806	8542	2043
807	8552	2032
808	8562	2021
809	8571	2010
810	8582	2000
811	8592	1989
812	8602	1978
813	8612	1967
814	8622	1957
815	8632	1946
816	8642	1935
817	8653	1925
818	8663	1914
819	8674	1904
820	8687	1894
821	8698	1883
822	8707	1872
823	8717	1861
824	8727	1851
825	8737	1840
826	8748	1830
827	8758	1819
828	8767	1808
829	8777	1797
830	8787	1787
831	8797	1776
832	8807	1765
833	8817	1754
834	8828	1744
835	8837	1733
836	8847	1723
837	8858	1712
838	8868	1701
839	8878	1691
840	8889	1680
841	8898	1669
842	8908	1659
843	8918	1648
844	8929	1637
845	8941	1627
846	8951	1616
847	8961	1606
848	8971	1595
849	8981	1584
850	8991	1574
851	9000	1563
852	9010	1552
853	9020	1542
854	9031	1531
855	9041	1520
856	9050	1510
857	9061	1499
858	9072	1489
859	9082	1478
860	9095	1468
861	9106	1457
862	9116	1447
863	9126	1436
864	9137	1426
865	9147	1415
866	9158	1404
867	9169	1394
868	9179	1383
869	9191	1373
870	9200	1362
871	9211	1352
872	9223	1341
873	9234	1331
874	9245	1320
875	9255	1310
876	9265	1299
877	9276	1288
878	9286	1278
879	9296	1267
880	9307	1257
881	9316	1246
882	9326	1235
883	9336	1225
884	9346	1214
885	9357	1203
886	9367	1193
887	9377	1182
888	9388	1172
889	9398	1161
890	9408	1150
891	9417	1140
892	9427	1129
893	9437	1118
894	9445	1108
895	9455	1097
896	9465	1086
897	9475	1076
898	9485	1065
899	9494	1054
900	9506	1044
901	9518	1034
902	9529	1023
903	9540	1013
904	9551	1002
905	9560	991
906	9570	981
907	9581	970
908	9592	960
909	9603	949
910	9615	939
911	9627	928
912	9638	918
913	9648	907
914	9659	897
915	9670	886
916	9680	876
917	9690	865
918	9700	855
919	9710	844
920	9721	833
921	9731	823
922	9740	812
923	9750	801
924	9759	791
925	9769	780
926	9780	770
927	9789	759
928	9799	748
929	9808	738
930	9817	727
931	9826	716
932	9834	706
933	9843	695
934	9852	684
935	9861	674
936	9872	663
937	9881	653
938	9891	642
939	9901	632
940	9914	621
941	9924	611
942	9933	600
943	9942	589
944	9952	579
945	9962	568
946	9971	558
947	9980	547
948	9989	536
949	9999	526
950	10009	515
951	10019	505
952	10029	494
953	10040	484
954	10051	473
955	10061	463
956	10071	452
957	10081	442
958	10092	431
959	10103	420
960	10113	410
961	10124	399
962	10133	389
963	10143	378
964	10153	368
965	10162	357
966	10173	347
967	10183	336
968	10193	326
969	10202	315
970	10211	304
971	10219	294
972	10229	283
973	10239	273
974	10248	262
975	10257	252
976	10267	241
977	10276	231
978	10286	220
979	10296	210
980	10305	199
981	10316	189
982	10327	178
983	10339	168
984	10348	157
985	10360	147
986	10372	136
987	10383	126
988	10395	115
989	10406	105
990	10418	94
991	10429	84
992	10440	73
993	10451	63
994	10462	52
995	10472	42
996	10486	31
997	10497	21
998	10507	10
999	10518	0
